X:586 Y:509 DeltaX:2 DeltaY:-1
X:587 Y:508 DeltaX:1 DeltaY:-1
X:590 Y:507 DeltaX:3 DeltaY:-1
X:591 Y:505 DeltaX:1 DeltaY:-2
X:592 Y:504 DeltaX:1 DeltaY:-1
X:595 Y:502 DeltaX:3 DeltaY:-2
X:596 Y:502 DeltaX:1 DeltaY:0
X:598 Y:499 DeltaX:2 DeltaY:-3
X:600 Y:499 DeltaX:2 DeltaY:0
X:602 Y:497 DeltaX:2 DeltaY:-2
X:603 Y:497 DeltaX:1 DeltaY:0
X:606 Y:496 DeltaX:3 DeltaY:-1
X:608 Y:493 DeltaX:2 DeltaY:-3
X:609 Y:493 DeltaX:1 DeltaY:0
X:612 Y:491 DeltaX:3 DeltaY:-2
X:613 Y:490 DeltaX:1 DeltaY:-1
X:614 Y:489 DeltaX:1 DeltaY:-1
X:616 Y:488 DeltaX:2 DeltaY:-1
X:619 Y:486 DeltaX:3 DeltaY:-2
X:620 Y:485 DeltaX:1 DeltaY:-1
X:622 Y:484 DeltaX:2 DeltaY:-1
X:624 Y:483 DeltaX:2 DeltaY:-1
X:626 Y:482 DeltaX:2 DeltaY:-1
X:627 Y:480 DeltaX:1 DeltaY:-2
X:630 Y:479 DeltaX:3 DeltaY:-1
X:631 Y:477 DeltaX:1 DeltaY:-2
X:633 Y:477 DeltaX:2 DeltaY:0
X:634 Y:476 DeltaX:1 DeltaY:-1
X:635 Y:475 DeltaX:1 DeltaY:-1
X:637 Y:474 DeltaX:2 DeltaY:-1
X:639 Y:473 DeltaX:2 DeltaY:-1
X:640 Y:472 DeltaX:1 DeltaY:-1
X:642 Y:471 DeltaX:2 DeltaY:-1
X:642 Y:470 DeltaX:0 DeltaY:-1
X:645 Y:469 DeltaX:3 DeltaY:-1
X:646 Y:468 DeltaX:1 DeltaY:-1
X:647 Y:466 DeltaX:1 DeltaY:-2
X:648 Y:466 DeltaX:1 DeltaY:0
X:649 Y:465 DeltaX:1 DeltaY:-1
X:651 Y:465 DeltaX:2 DeltaY:0
X:652 Y:463 DeltaX:1 DeltaY:-2
X:653 Y:463 DeltaX:1 DeltaY:0
X:654 Y:462 DeltaX:1 DeltaY:-1
X:655 Y:462 DeltaX:1 DeltaY:0
X:656 Y:461 DeltaX:1 DeltaY:-1
X:656 Y:460 DeltaX:0 DeltaY:-1
X:658 Y:459 DeltaX:2 DeltaY:-1
X:659 Y:458 DeltaX:1 DeltaY:-1
X:660 Y:457 DeltaX:1 DeltaY:-1
X:661 Y:457 DeltaX:1 DeltaY:0
X:662 Y:456 DeltaX:1 DeltaY:-1
X:663 Y:456 DeltaX:1 DeltaY:0
X:663 Y:454 DeltaX:0 DeltaY:-2
X:664 Y:454 DeltaX:1 DeltaY:0
X:664 Y:453 DeltaX:0 DeltaY:-1
X:665 Y:453 DeltaX:1 DeltaY:0
X:665 Y:452 DeltaX:0 DeltaY:-1
X:666 Y:452 DeltaX:1 DeltaY:0
X:666 Y:453 DeltaX:0 DeltaY:1
X:667 Y:453 DeltaX:1 DeltaY:0
X:667 Y:454 DeltaX:0 DeltaY:1
X:668 Y:454 DeltaX:1 DeltaY:0
X:669 Y:455 DeltaX:1 DeltaY:1
X:669 Y:456 DeltaX:0 DeltaY:1
X:669 Y:457 DeltaX:0 DeltaY:1
X:669 Y:458 DeltaX:0 DeltaY:1
X:669 Y:460 DeltaX:0 DeltaY:2
X:669 Y:461 DeltaX:0 DeltaY:1
X:669 Y:462 DeltaX:0 DeltaY:1
X:669 Y:463 DeltaX:0 DeltaY:1
X:669 Y:464 DeltaX:0 DeltaY:1
X:669 Y:465 DeltaX:0 DeltaY:1
X:669 Y:466 DeltaX:0 DeltaY:1
X:669 Y:467 DeltaX:0 DeltaY:1
X:669 Y:468 DeltaX:0 DeltaY:1
X:669 Y:469 DeltaX:0 DeltaY:1
X:669 Y:470 DeltaX:0 DeltaY:1
X:669 Y:471 DeltaX:0 DeltaY:1
X:669 Y:472 DeltaX:0 DeltaY:1
X:668 Y:473 DeltaX:-1 DeltaY:1
X:668 Y:474 DeltaX:0 DeltaY:1
X:668 Y:475 DeltaX:0 DeltaY:1
X:667 Y:475 DeltaX:-1 DeltaY:0
X:667 Y:476 DeltaX:0 DeltaY:1
X:667 Y:477 DeltaX:0 DeltaY:1
X:666 Y:477 DeltaX:-1 DeltaY:0
X:665 Y:478 DeltaX:-1 DeltaY:1
X:665 Y:479 DeltaX:0 DeltaY:1
X:664 Y:480 DeltaX:-1 DeltaY:1
X:663 Y:480 DeltaX:-1 DeltaY:0
X:663 Y:481 DeltaX:0 DeltaY:1
